PACIFIC Exchange Rate Service
2451466 1999/10/14 Thu 0.60306
2451467 1999/10/15 Fri 0.59926
2451470 1999/10/18 Mon 0.59806
2451471 1999/10/19 Tue 0.59833
2451472 1999/10/20 Wed 0.60057
2451473 1999/10/21 Thu 0.59642
2451474 1999/10/22 Fri 0.60296
2451477 1999/10/25 Mon 0.60125
2451478 1999/10/26 Tue 0.60508
2451479 1999/10/27 Wed 0.60683
2451480 1999/10/28 Thu 0.60978
2451481 1999/10/29 Fri 0.60864
2451484 1999/11/01 Mon 0.60958
2451485 1999/11/02 Tue 0.60791
2451486 1999/11/03 Wed 0.60823
2451487 1999/11/04 Thu 0.61032
2451488 1999/11/05 Fri 0.61718
2451491 1999/11/08 Mon 0.61907
2451492 1999/11/09 Tue 0.61670
2451493 1999/11/10 Wed 0.61511
2451495 1999/11/12 Fri 0.61963
2451498 1999/11/15 Mon 0.61612
2451499 1999/11/16 Tue 0.61838
2451500 1999/11/17 Wed 0.61611
2451501 1999/11/18 Thu 0.61861
2451502 1999/11/19 Fri 0.61870
2451505 1999/11/22 Mon 0.61698
2451506 1999/11/23 Tue 0.61581
2451507 1999/11/24 Wed 0.62151
2451508 1999/11/25 Thu 0.61928
2451509 1999/11/26 Fri 0.62296
2451512 1999/11/29 Mon 0.62386
2451513 1999/11/30 Tue 0.62670
2451514 1999/12/01 Wed 0.62652
2451515 1999/12/02 Thu 0.62591
2451516 1999/12/03 Fri 0.62441
2451519 1999/12/06 Mon 0.61602
2451520 1999/12/07 Tue 0.61588
2451521 1999/12/08 Wed 0.61527
2451522 1999/12/09 Thu 0.61589
2451523 1999/12/10 Fri 0.61627
2451526 1999/12/13 Mon 0.61588
2451527 1999/12/14 Tue 0.62039
2451528 1999/12/15 Wed 0.62155
2451529 1999/12/16 Thu 0.62007
2451530 1999/12/17 Fri 0.62223
2451533 1999/12/20 Mon 0.62337
2451534 1999/12/21 Tue 0.62108
2451535 1999/12/22 Wed 0.62255
2451536 1999/12/23 Thu 0.61862
2451537 1999/12/24 Fri 0.61908
2451542 1999/12/29 Wed 0.61840
2451543 1999/12/30 Thu 0.62014
2451544 1999/12/31 Fri 0.61907
(C) 2015 by Prof. Werner Antweiler, University of British Columbia, Vancouver BC, Canada
